Ambito;ISO3;Area;Producto;Codigo del year;Year;Unidad;Valor;Simbolo;Descripcion del Simbolo
Cobertura de la tierra;AFG;Afganistan;Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;236.97;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;191.9;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Cultivos herbaceos;2020;2020;1000 ha;4493.4;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Cultivos herbaceos;2021;2021;1000 ha;4293.53;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AFG;Afganistan;Cultivos madereros;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AFG;Afganistan;Cultivos multiples o estratificados;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AFG;Afganistan;Cultivos multiples o estratificados;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AFG;Afganistan;Pastizales;2020;2020;1000 ha;14004.79;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Pastizales;2021;2021;1000 ha;14981.99;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Areas cubiertas por arboles;2020;2020;1000 ha;637.99;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Areas cubiertas por arboles;2021;2021;1000 ha;713.15;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Manglares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Manglares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Areas cubiertas por arbustos;2020;2020;1000 ha;2371.21;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Areas cubiertas por arbustos;2021;2021;1000 ha;1499.42;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2020;2020;1000 ha;54.12;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2021;2021;1000 ha;15.68;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Areas de vegetacion natural dispersa;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AFG;Afganistan;Areas de vegetacion natural dispersa;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AFG;Afganistan;Tierras deserticas;2020;2020;1000 ha;41836.41;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Tierras deserticas;2021;2021;1000 ha;41878.69;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Nieve permanente y glaciares;2020;2020;1000 ha;419.65;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Nieve permanente y glaciares;2021;2021;1000 ha;482.49;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Cuerpos de aguas interiores;2020;2020;1000 ha;129.65;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Cuerpos de aguas interiores;2021;2021;1000 ha;127.33;E;Valor estimado
Cobertura de la tierra;AFG;Afganistan;Cuerpos de agua costera y zonas intermareales;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AFG;Afganistan;Cuerpos de agua costera y zonas intermareales;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ALB;Albania;Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;46.68;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;52.4;E;Valor estimado
