Codigo del ambito,Ambito,Codigo de Area(ISO3),Area,Codigo del elemento,Elemento,Codigo del producto,Producto,Codigo del year,Year,Unidad,Valor,Simbolo,Descripcion del Simbolo
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6970"",""Superficies artificiales (incluidas las zonas urbanas y conexas)"",""2020"",""2020"",""1000 ha"",""236.97"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6970"",""Superficies artificiales (incluidas las zonas urbanas y conexas)"",""2021"",""2021"",""1000 ha"",""191.9"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6971"",""Cultivos herbáceos"",""2020"",""2020"",""1000 ha"",""4493.4"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6971"",""Cultivos herbáceos"",""2021"",""2021"",""1000 ha"",""4293.53"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6972"",""Cultivos madereros"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6972"",""Cultivos madereros"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6973"",""Cultivos múltiples o estratificados"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6973"",""Cultivos múltiples o estratificados"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6983"",""Pastizales"",""2020"",""2020"",""1000 ha"",""14004.79"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6983"",""Pastizales"",""2021"",""2021"",""1000 ha"",""14981.99"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6974"",""Áreas cubiertas por árboles"",""2020"",""2020"",""1000 ha"",""637.99"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6974"",""Áreas cubiertas por árboles"",""2021"",""2021"",""1000 ha"",""713.15"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6975"",""Manglares"",""2020"",""2020"",""1000 ha"",""0"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6975"",""Manglares"",""2021"",""2021"",""1000 ha"",""0"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6976"",""Áreas cubiertas por arbustos"",""2020"",""2020"",""1000 ha"",""2371.21"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6976"",""Áreas cubiertas por arbustos"",""2021"",""2021"",""1000 ha"",""1499.42"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6977"",""Vegetación arbustiva y/o herbácea, acuática o periódicamente inundada"",""2020"",""2020"",""1000 ha"",""54.12"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6977"",""Vegetación arbustiva y/o herbácea, acuática o periódicamente inundada"",""2021"",""2021"",""1000 ha"",""15.68"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6978"",""Áreas de vegetación natural dispersa"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6978"",""Áreas de vegetación natural dispersa"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6979"",""Tierras desérticas"",""2020"",""2020"",""1000 ha"",""41836.41"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6979"",""Tierras desérticas"",""2021"",""2021"",""1000 ha"",""41878.69"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6980"",""Nieve permanente y glaciares"",""2020"",""2020"",""1000 ha"",""419.65"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6980"",""Nieve permanente y glaciares"",""2021"",""2021"",""1000 ha"",""482.49"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6981"",""Cuerpos de aguas interiores"",""2020"",""2020"",""1000 ha"",""129.65"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6981"",""Cuerpos de aguas interiores"",""2021"",""2021"",""1000 ha"",""127.33"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6982"",""Cuerpos de agua costera y zonas intermareales"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""AFG"",""Afganistan"",""5013"",""Area from WorldCover"",""6982"",""Cuerpos de agua costera y zonas intermareales"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6970"",""Superficies artificiales (incluidas las zonas urbanas y conexas)"",""2020"",""2020"",""1000 ha"",""46.68"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6970"",""Superficies artificiales (incluidas las zonas urbanas y conexas)"",""2021"",""2021"",""1000 ha"",""52.4"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6971"",""Cultivos herbáceos"",""2020"",""2020"",""1000 ha"",""205.34"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6971"",""Cultivos herbáceos"",""2021"",""2021"",""1000 ha"",""197.26"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6972"",""Cultivos madereros"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6972"",""Cultivos madereros"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6973"",""Cultivos múltiples o estratificados"",""2020"",""2020"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6973"",""Cultivos múltiples o estratificados"",""2021"",""2021"",""1000 ha"","""",""O"",""Valor ausente"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6983"",""Pastizales"",""2020"",""2020"",""1000 ha"",""887.62"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6983"",""Pastizales"",""2021"",""2021"",""1000 ha"",""1007.77"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6974"",""Áreas cubiertas por árboles"",""2020"",""2020"",""1000 ha"",""1283.6"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6974"",""Áreas cubiertas por árboles"",""2021"",""2021"",""1000 ha"",""1333.81"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6975"",""Manglares"",""2020"",""2020"",""1000 ha"",""0"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6975"",""Manglares"",""2021"",""2021"",""1000 ha"",""0"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6976"",""Áreas cubiertas por arbustos"",""2020"",""2020"",""1000 ha"",""216.76"",""E"",""Valor estimado"""
"LC,""Cobertura de la tierra"",""ALB"",""Albania"",""5013"",""Area from WorldCover"",""6976"",""Áreas cubiertas por arbustos"",""2021"",""2021"",""1000 ha"",""152.7"",""E"",""Valor estimado"""
